Timestamp,Light Color,State,Response Time (s),Time Since Last Change (s),FPS,Runtime (s),Detection %,Confidences,Other Object Counter,Other Object Confidence % Average
2025-05-19T09:01:16.577200,RED,ON,4.034,4.034,8.40,7.38,58.06,motorcycle: 1,motorcycle:0.31,1,30.68
2025-05-19T09:01:16.644729,RED,ON,4.102,4.102,8.46,7.45,58.73,motorcycle: 1,motorcycle:0.42,1,42.18
2025-05-19T09:01:16.709051,RED,ON,4.166,4.166,8.52,7.51,59.38,motorcycle: 1,motorcycle:0.39,1,38.73
2025-05-19T09:01:16.779428,RED,ON,4.237,4.237,8.57,7.58,60.00,motorcycle: 1,motorcycle:0.37,1,36.81
2025-05-19T09:01:16.840895,RED,ON,4.298,4.298,8.64,7.64,60.61,motorcycle: 1,motorcycle:0.41,1,41.41
2025-05-19T09:01:16.909402,RED,ON,4.366,4.366,8.69,7.71,61.19,motorcycle: 1,motorcycle:0.46,1,45.63
2025-05-19T09:01:16.977485,RED,ON,4.435,4.435,8.74,7.78,61.76,motorcycle: 1,motorcycle:0.36,1,36.05
2025-05-19T09:01:17.041433,RED,ON,4.499,4.499,8.80,7.84,62.32,motorcycle: 1,motorcycle:0.30,1,30.29
2025-05-19T09:01:17.109474,RED,ON,4.567,4.567,8.85,7.91,62.86,motorcycle: 1,motorcycle:0.45,1,44.87
2025-05-19T09:01:17.173554,RED,ON,4.631,4.631,8.90,7.98,63.38,motorcycle: 1,motorcycle:0.48,1,48.32
2025-05-19T09:01:17.241490,RED,ON,4.699,4.699,8.95,8.04,63.89,motorcycle: 1,motorcycle:0.36,1,36.05
2025-05-19T09:01:17.309288,RED,ON,4.766,4.766,9.00,8.11,64.38,motorcycle: 1,motorcycle:0.46,1,46.40
2025-05-19T09:01:17.373285,RED,ON,4.830,4.830,9.05,8.18,64.86,motorcycle: 1,motorcycle:0.41,1,41.41
2025-05-19T09:01:17.441282,RED,ON,4.898,4.898,9.10,8.24,64.00,,,0,0.00
